step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
1750 2.872887e+00 4.427575e-02 1.002083e-01 1.259236e-03 4.769970e-01 6.359960e+03
1760 2.890340e+00 4.426082e-02 1.000918e-01 1.260276e-03 4.772744e-01 6.363658e+03
1770 2.907791e+00 4.424535e-02 9.997569e-02 1.261299e-03 4.775515e-01 6.367353e+03
1780 2.925240e+00 4.422936e-02 9.985984e-02 1.262306e-03 4.778284e-01 6.371046e+03
1790 2.942687e+00 4.421285e-02 9.974429e-02 1.263297e-03 4.781051e-01 6.374735e+03
1800 2.960132e+00 4.419584e-02 9.962903e-02 1.264272e-03 4.783816e-01 6.378422e+03
1810 2.977575e+00 4.417833e-02 9.951405e-02 1.265231e-03 4.786579e-01 6.382105e+03
1820 2.995016e+00 4.416034e-02 9.939937e-02 1.266175e-03 4.789339e-01 6.385786e+03
1830 3.012454e+00 4.414187e-02 9.928496e-02 1.267104e-03 4.792098e-01 6.389464e+03
1840 3.029890e+00 4.412294e-02 9.917085e-02 1.268018e-03 4.794854e-01 6.393139e+03
1850 3.047323e+00 4.410355e-02 9.905702e-02 1.268917e-03 4.797608e-01 6.396811e+03
1860 3.064753e+00 4.408369e-02 9.894346e-02 1.269801e-03 4.800361e-01 6.400481e+03
1870 3.082180e+00 4.406334e-02 9.883019e-02 1.270670e-03 4.803111e-01 6.404148e+03
1880 3.099605e+00 4.404252e-02 9.871720e-02 1.271523e-03 4.805859e-01 6.407812e+03
1890 3.117026e+00 4.402120e-02 9.860449e-02 1.272360e-03 4.808605e-01 6.411473e+03
1900 3.134445e+00 4.399939e-02 9.849205e-02 1.273182e-03 4.811349e-01 6.415132e+03
1910 3.151860e+00 4.397709e-02 9.837989e-02 1.273987e-03 4.814091e-01 6.418787e+03
1920 3.169272e+00 4.395431e-02 9.826800e-02 1.274777e-03 4.816831e-01 6.422441e+03
1930 3.186680e+00 4.393105e-02 9.815638e-02 1.275551e-03 4.819568e-01 6.426091e+03
1940 3.204085e+00 4.390732e-02 9.804503e-02 1.276310e-03 4.822304e-01 6.429739e+03
1950 3.221486e+00 4.388312e-02 9.793396e-02 1.277053e-03 4.825038e-01 6.433385e+03
1960 3.238884e+00 4.385847e-02 9.782314e-02 1.277782e-03 4.827770e-01 6.437027e+03
1970 3.256278e+00 4.383339e-02 9.771260e-02 1.278496e-03 4.830501e-01 6.440667e+03
1980 3.273668e+00 4.380787e-02 9.760232e-02 1.279195e-03 4.833229e-01 6.444305e+03
1990 3.291054e+00 4.378194e-02 9.749230e-02 1.279881e-03 4.835955e-01 6.447940e+03
2000 3.308436e+00 4.375560e-02 9.738255e-02 1.280553e-03 4.838679e-01 6.451573e+03
2010 3.325814e+00 4.372888e-02 9.727306e-02 1.281211e-03 4.841402e-01 6.455203e+03
2020 3.343187e+00 4.370178e-02 9.716382e-02 1.281856e-03 4.844123e-01 6.458830e+03
2030 3.360557e+00 4.367431e-02 9.705485e-02 1.282489e-03 4.846841e-01 6.462455e+03
2040 3.377921e+00 4.364649e-02 9.694613e-02 1.283109e-03 4.849558e-01 6.466078e+03
2050 3.395282e+00 4.361832e-02 9.683766e-02 1.283718e-03 4.852274e-01 6.469698e+03
2060 3.412638e+00 4.358982e-02 9.672945e-02 1.284314e-03 4.854987e-01 6.473316e+03
2070 3.429989e+00 4.356100e-02 9.662150e-02 1.284899e-03 4.857698e-01 6.476931e+03
2080 3.447336e+00 4.353186e-02 9.651380e-02 1.285472e-03 4.860408e-01 6.480544e+03
2090 3.464678e+00 4.350242e-02 9.640634e-02 1.286035e-03 4.863116e-01 6.484155e+03
2100 3.482015e+00 4.347268e-02 9.629914e-02 1.286586e-03 4.865822e-01 6.487763e+03
2110 3.499347e+00 4.344266e-02 9.619219e-02 1.287127e-03 4.868526e-01 6.491368e+03
2120 3.516675e+00 4.341235e-02 9.608548e-02 1.287658e-03 4.871229e-01 6.494972e+03
2130 3.533997e+00 4.338178e-02 9.597902e-02 1.288178e-03 4.873930e-01 6.498573e+03
2140 3.551314e+00 4.335094e-02 9.587280e-02 1.288689e-03 4.876629e-01 6.502172e+03
2150 3.568626e+00 4.331985e-02 9.576683e-02 1.289189e-03 4.879326e-01 6.505768e+03
2160 3.585933e+00 4.328852e-02 9.566111e-02 1.289681e-03 4.882022e-01 6.509363e+03
2170 3.603235e+00 4.325695e-02 9.555562e-02 1.290163e-03 4.884716e-01 6.512954e+03
2180 3.620531e+00 4.322515e-02 9.545038e-02 1.290636e-03 4.887408e-01 6.516544e+03
2190 3.637822e+00 4.319314e-02 9.534538e-02 1.291100e-03 4.890099e-01 6.520131e+03
2200 3.655107e+00 4.316091e-02 9.524061e-02 1.291556e-03 4.892787e-01 6.523716e+03
2210 3.672387e+00 4.312848e-02 9.513608e-02 1.292004e-03 4.895474e-01 6.527299e+03
2220 3.689661e+00 4.309586e-02 9.503180e-02 1.292443e-03 4.898160e-01 6.530880e+03
2230 3.706929e+00 4.306305e-02 9.492774e-02 1.292875e-03 4.900844e-01 6.534458e+03
2240 3.724192e+00 4.303005e-02 9.482393e-02 1.293299e-03 4.903526e-01 6.538034e+03
2250 3.741449e+00 4.299689e-02 9.472034e-02 1.293715e-03 4.906206e-01 6.541608e+03
2260 3.758701e+00 4.296357e-02 9.461700e-02 1.294124e-03 4.908885e-01 6.545180e+03
2270 3.775946e+00 4.293009e-02 9.451388e-02 1.294527e-03 4.911562e-01 6.548749e+03
2280 3.793186e+00 4.289646e-02 9.441099e-02 1.294922e-03 4.914237e-01 6.552317e+03
2290 3.810419e+00 4.286269e-02 9.430834e-02 1.295311e-03 4.916911e-01 6.555882e+03
2300 3.827647e+00 4.282879e-02 9.420592e-02 1.295694e-03 4.919583e-01 6.559445e+03
2310 3.844868e+00 4.279476e-02 9.410372e-02 1.296071e-03 4.922254e-01 6.563005e+03
2320 3.862083e+00 4.276062e-02 9.400176e-02 1.296441e-03 4.924923e-01 6.566564e+03
2330 3.879293e+00 4.272636e-02 9.390002e-02 1.296806e-03 4.927590e-01 6.570120e+03
